ID,designation_header,strain_number_header,is_type_strain_header,species,domain,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID,Genome Sequence database
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,Bacteria,anaerobe,2562617177,592010,img
,,,,,,facultative anaerobe,,,
,,,,,,obligate anaerobe,,,
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,Bacteria,aerobe,2831460164,2182787,img
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,Bacteria,aerobe,2517572146,1120917,img
,,,,,,obligate aerobe,,,
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,Acetitomaculum ruminis,Bacteria,anaerobe,2651870361,1120918,img
2838,Z-7026,"DSM 17461, VKM B-2349",1,Acetivibrio alkalicellulosi,Bacteria,anaerobe,2509887034,320502,img
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,Acetivibrio cellulolyticus,Bacteria,anaerobe,2510461053,509191,img
,,,,,,obligate anaerobe,,,
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,Bacteria,anaerobe,2507262051,720554,img
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,Bacteria,anaerobe,2880951795,2487273,img
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,Bacteria,anaerobe,2775506833,1677857,img
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,Bacteria,anaerobe,2772190653,1294263,img
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,Acetivibrio thermocellus,Bacteria,anaerobe,640069309,203119,img
2728,LQ8,DSM 1313,0,Acetivibrio thermocellus,Bacteria,anaerobe,2825454334,1515,img
,,,,,,,650377924,637887,img
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,Acetivibrio thermocellus,Bacteria,anaerobe,645058753,572545,img
131392,ST07-YE,"DSM 27512, JCM 19400",1,Acetoanaerobium pronyense,Bacteria,anaerobe,2913505501,1482736,img
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,Acetoanaerobium sticklandii,Bacteria,anaerobe,649633033,1511,img
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,Bacteria,aerobe,2547132264,887700,img
,,,,,,obligate aerobe,2784746776,887700,img
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,Bacteria,obligate aerobe,2724679583,178900,img
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,Bacteria,obligate aerobe,2901808964,146475,img
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,Bacteria,obligate aerobe,2713897233,178901,img
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,Bacteria,aerobe,2522572157,1120919,img
,,,,,,obligate aerobe,2927201423,1120919,img
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,Bacteria,obligate aerobe,2829864053,304077,img
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,Bacteria,obligate aerobe,2899144674,146474,img
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,Acetobacter orleanensis,Bacteria,aerobe,2728368908,104099,img
,,,,,,,2854545835,104099,img
11,,"DSM 11825, LTH 2458, CIP 105762",1,Acetobacter pomorum,Bacteria,aerobe,2828617574,65959,img
,,,,,,obligate aerobe,,,
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,Bacteria,obligate aerobe,2728368907,446692,img
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,Acetobacter syzygii,Bacteria,obligate aerobe,2905254764,146476,img
5409,"Z-4391, Z-S11",DSM 8239,1,Acetobacterium bakii,Bacteria,anaerobe,2654587740,52689,img
5410,MC,DSM 11527,0,Acetobacterium dehalogenans,Bacteria,anaerobe,2513237154,1068975,img
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,Acetobacterium wieringae,Bacteria,anaerobe,2690315663,52694,img
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,Acetobacterium woodii,Bacteria,anaerobe,2512047040,931626,img
,,,,,,facultative anaerobe,,,
5978,Z-7288,"DSM 5501, ATCC 49924",1,Acetohalobium arabaticum,Bacteria,anaerobe,648028002,574087,img
1580,P,"DSM 20664, ATCC 43122",1,Acetomicrobium flavidum,Bacteria,anaerobe,2695420966,49896,img
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,Bacteria,anaerobe,2509601011,891968,img
,,,,,,obligate anaerobe,,,
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,Bacteria,anaerobe,2599185146,1120987,img
,,,,,,obligate anaerobe,,,
17111,APO-1,"DSM 6540, ATCC 51454",1,Acetonema longum,Bacteria,anaerobe,651324002,1009370,img
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,Achromobacter aegrifaciens,Bacteria,aerobe,2900112703,1287736,img
156530,,"CCUG 62440, LMG 26854",0,Achromobacter aegrifaciens,Bacteria,aerobe,2900120893,1287736,img
,,,,,,obligate aerobe,,,
140509,,"LMG 3411, CCUG 62454",1,Achromobacter agilis,Bacteria,aerobe,2882181859,1353888,img
,,,,,,obligate aerobe,,,
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,Bacteria,aerobe,2881412998,1750518,img
,,,,,,obligate aerobe,,,
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,Achromobacter animicus,Bacteria,aerobe,2902242375,1389935,img
,,,,,,obligate aerobe,,,
