ID,designation_header,strain_number_header,is_type_strain_header,species,domain,phylum,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,Bacteria,Bacillota,anaerobe,GCA_000160075,592010
,,,,,,,facultative anaerobe,,
,,,,,,,obligate anaerobe,,
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,Bacteria,Bacillota,anaerobe,GCA_003725415,2486576
,,,,,,,microaerophile,,
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,Bacteria,Pseudomonadota,aerobe,GCA_003151135,2182787
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,Bacteria,Bacillota,anaerobe,GCA_003313305,1185412
,,,,,,,obligate anaerobe,,
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,Bacteria,Acidobacteriota,aerobe,GCA_017377855,442870
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,Bacteria,Actinomycetota,aerobe,GCA_000376245,1120917
,,,,,,,obligate aerobe,,
18089,CT-m2,"DSM 23669, ATCC BAA-2170",1,Acetatifactor muris,Bacteria,Bacillota,anaerobe,GCA_024623325,879566
164491,HSLZ-75,"JCM 33270, CICC 6269",1,Acetilactobacillus jinshanensis,Bacteria,Bacillota,facultative anaerobe,GCA_004359375,1720083
,,,,,,,obligate aerobe,,
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,Acetitomaculum ruminis,Bacteria,Bacillota,anaerobe,GCA_900112085,1120918
2838,Z-7026,"DSM 17461, VKM B-2349",1,Acetivibrio alkalicellulosi,Bacteria,Bacillota,anaerobe,GCA_008125075,320502
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,Acetivibrio cellulolyticus,Bacteria,Bacillota,anaerobe,GCA_000179595,509191
,,,,,,,obligate anaerobe,,
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,Bacteria,Bacillota,anaerobe,GCA_000237085,720554
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,Bacteria,Bacillota,anaerobe,GCA_004102745,2487273
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,Bacteria,Bacillota,anaerobe,GCA_002844395,1677857
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,Bacteria,Bacillota,anaerobe,GCA_000521465,1294263
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,GCA_000015865,203119
2728,LQ8,DSM 1313,0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,GCA_000184925,637887
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,GCA_001692755,572545
22965,YS,DSM 25991,0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,GCA_000255575,1094188
22966,AD2,DSM 25992,0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,GCA_000255615,1138384
,,,,,,,,GCA_002564085,1138384
131392,ST07-YE,"DSM 27512, JCM 19400",1,Acetoanaerobium pronyense,Bacteria,Bacillota,anaerobe,GCA_017874355,1482736
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,Acetoanaerobium sticklandii,Bacteria,Bacillota,anaerobe,GCA_000196455,1511
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,Bacteria,Pseudomonadota,aerobe,GCA_000193495,887700
,,,,,,,obligate aerobe,GCA_000963905,887700
,,,,,,,,GCA_004341595,887700
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,Bacteria,Pseudomonadota,obligate aerobe,GCA_001580535,178900
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,Bacteria,Pseudomonadota,obligate aerobe,GCA_000963925,146475
,,,,,,,,GCA_007989305,146475
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,Bacteria,Pseudomonadota,obligate aerobe,GCA_001580615,178901
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,Bacteria,Pseudomonadota,aerobe,GCA_000429165,1120919
,,,,,,,obligate aerobe,GCA_007991375,1120919
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,Bacteria,Pseudomonadota,obligate aerobe,GCA_011516825,304077
,,,,,,,,GCA_014196315,304077
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,Bacteria,Pseudomonadota,obligate aerobe,GCA_000963965,146474
,,,,,,,,GCA_007989335,146474
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,Acetobacter orleanensis,Bacteria,Pseudomonadota,aerobe,GCA_000964205,1231342
,,,,,,,,GCA_001581005,104099
,,,,,,,,GCA_002358055,104099
,,,,,,,,GCA_006539325,104099
