ID,designation_header,strain_number_header,is_type_strain_header,species,domain,phylum,Oxygen tolerance,Genome seq. accession number,Genome Sequence associated NCBI tax ID
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,Abiotrophia defectiva,Bacteria,Bacillota,anaerobe,2562617177,592010
,,,,,,,facultative anaerobe,46125.34,46125
,,,,,,,obligate anaerobe,592010.4,592010
164352,YH-panp20,"JCM 32769, KCTC 15747, KCTC 1574",1,Absicoccus porci,Bacteria,Bacillota,anaerobe,RJQC00000000,2486576
,,,,,,,microaerophile,,
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,Abyssibacter profundi,Bacteria,Pseudomonadota,aerobe,2831460164,2182787
132478,L81,"DSM 29592, JCM 30920",1,Vallitalea guaymasensis,Bacteria,Bacillota,anaerobe,1185412.3,1185412
,,,,,,,obligate anaerobe,,
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,Acanthopleuribacter pedis,Bacteria,Acidobacteriota,aerobe,442870.4,442870
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,Acaricomes phytoseiuli,Bacteria,Actinomycetota,aerobe,1120917.3,1120917
,,,,,,,obligate aerobe,2517572146,1120917
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,Acetitomaculum ruminis,Bacteria,Bacillota,anaerobe,1120918.3,1120918
,,,,,,,,2651870361,1120918
2838,Z-7026,"DSM 17461, VKM B-2349",1,Acetivibrio alkalicellulosi,Bacteria,Bacillota,anaerobe,2509887034,320502
,,,,,,,,320502.3,320502
17674,CD2,"DSM 1870, ATCC 33288, NRC 2248",1,Acetivibrio cellulolyticus,Bacteria,Bacillota,anaerobe,2510461053,509191
,,,,,,,obligate anaerobe,509191.4,509191
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,Acetivibrio clariflavus,Bacteria,Bacillota,anaerobe,2507262051,720554
,,,,,,,,720554.3,720554
157972,N2K1,"DSM 107956, CECT 9704",1,Acetivibrio mesophilus,Bacteria,Bacillota,anaerobe,2487273.3,2487273
,,,,,,,,2880951795,2487273
132679,GGR1,"DSM 101079, CECT 9155",1,Acetivibrio saccincola,Bacteria,Bacillota,anaerobe,1677857.3,1677857
,,,,,,,,2775506833,1677857
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,Acetivibrio straminisolvens,Bacteria,Bacillota,anaerobe,1294263.3,1294263
,,,,,,,,2772190653,1294263
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,203119.11,203119
,,,,,,,,640069309,203119
2728,LQ8,DSM 1313,0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,1515.11,1515
,,,,,,,,2825454334,1515
,,,,,,,,637887.3,637887
,,,,,,,,650377924,637887
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,572545.3,572545
,,,,,,,,572545.4,572545
,,,,,,,,645058753,572545
2731,JW 20,"DSM 4150, ATCC 31549",0,Acetivibrio thermocellus,Bacteria,Bacillota,anaerobe,492476.4,492476
131392,ST07-YE,"DSM 27512, JCM 19400",1,Acetoanaerobium pronyense,Bacteria,Bacillota,anaerobe,1482736.4,1482736
,,,,,,,,2913505501,1482736
2717,HF,"DSM 519, ATCC 12662, CCUG 9281, JCM 1433, NCIMB 10654, BCRC 14485",1,Acetoanaerobium sticklandii,Bacteria,Bacillota,anaerobe,499177.3,499177
,,,,,,,,649633033,1511
2,L 40,"DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,Acetobacter aceti,Bacteria,Pseudomonadota,aerobe,2547132264,887700
,,,,,,,obligate aerobe,2784746776,887700
,,,,,,,,887700.1,887700
,,,,,,,,887700.6,887700
,,,,,,,,887700.7,887700
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,Acetobacter cerevisiae,Bacteria,Pseudomonadota,obligate aerobe,178900.5,178900
,,,,,,,,2724679583,178900
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,Acetobacter cibinongensis,Bacteria,Pseudomonadota,obligate aerobe,1231339.3,1307904
,,,,,,,,146475.5,146475
,,,,,,,,2901808964,146475
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,Acetobacter malorum,Bacteria,Pseudomonadota,obligate aerobe,178901.12,178901
,,,,,,,,2713897233,178901
20,RG1,"DSM 23921, LMG 23498, MTCC 6912, JCM 33644, BCC 33377, BCRC 80095, NBRC 105050, NRIC 0976, TBRC 15",1,Acetobacter nitrogenifigens,Bacteria,Pseudomonadota,aerobe,1120919.3,1120919
,,,,,,,obligate aerobe,1120919.6,1120919
,,,,,,,,2522572157,1120919
,,,,,,,,2927201423,1120919
19,B13,"DSM 23926, CECT 5830, LMG 21952, CIP 109171",1,Acetobacter oeni,Bacteria,Pseudomonadota,obligate aerobe,2829864053,304077
,,,,,,,,304077.8,304077
,,,,,,,,304077.9,304077
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,Acetobacter orientalis,Bacteria,Pseudomonadota,obligate aerobe,1231341.3,1307913
,,,,,,,,146474.1,146474
,,,,,,,,2899144674,146474
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,Acetobacter orleanensis,Bacteria,Pseudomonadota,aerobe,104099.3,104099
,,,,,,,,104099.5,104099
,,,,,,,,104099.6,104099
,,,,,,,,1231342.3,1231342
,,,,,,,,2728368908,104099
,,,,,,,,2854545835,104099
,,,,,,,,435.1,435
,,,,,,,,438.25,438
11,,"DSM 11825, LTH 2458, CIP 105762",1,Acetobacter pomorum,Bacteria,Pseudomonadota,aerobe,2828617574,65959
,,,,,,,obligate aerobe,65959.23,65959
21,CWBI-B418,"DSM 18889, LMG 23690",1,Acetobacter senegalensis,Bacteria,Pseudomonadota,obligate aerobe,2728368907,446692
,,,,,,,,446692.4,446692
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,Acetobacter syzygii,Bacteria,Pseudomonadota,obligate aerobe,1231343.3,1307919
,,,,,,,,146476.13,146476
,,,,,,,,2905254764,146476
5409,"Z-4391, Z-S11",DSM 8239,1,Acetobacterium bakii,Bacteria,Bacillota,anaerobe,2654587740,52689
,,,,,,,,52689.1,52689
,,,,,,,,52689.11,52689
5410,MC,DSM 11527,0,Acetobacterium dehalogenans,Bacteria,Bacillota,anaerobe,1068975.11,1068975
,,,,,,,,2513237154,1068975
5407,"Z-4092, Z-B12",DSM 8237,1,Acetobacterium paludosum,Bacteria,Bacillota,anaerobe,52693.4,52693
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,Acetobacterium wieringae,Bacteria,Bacillota,anaerobe,2690315663,52694
,,,,,,,,52694.3,52694
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,Acetobacterium woodii,Bacteria,Bacillota,anaerobe,2512047040,931626
,,,,,,,facultative anaerobe,931626.3,931626
5978,Z-7288,"DSM 5501, ATCC 49924",1,Acetohalobium arabaticum,Bacteria,Bacillota,anaerobe,574087.3,574087
,,,,,,,,648028002,574087
1580,P,"DSM 20664, ATCC 43122",1,Acetomicrobium flavidum,Bacteria,Synergistota,anaerobe,2695420966,49896
,,,,,,,,49896.3,49896
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,Acetomicrobium mobile,Bacteria,Synergistota,anaerobe,2509601011,891968
,,,,,,,obligate anaerobe,891968.3,891968
17778,RWcit2,"DSM 13490, ACM 5076",1,Acetomicrobium thermoterrenum,Bacteria,Synergistota,anaerobe,1120987.3,1120987
,,,,,,,obligate anaerobe,2544872.3,2529858
,,,,,,,,2599185146,1120987
17111,APO-1,"DSM 6540, ATCC 51454",1,Acetonema longum,Bacteria,Bacillota,anaerobe,1009370.3,1009370
,,,,,,,,651324002,1009370
156528,"LiPuma AU4014, Vandamme R-31134","CCUG 62438, LMG 26852, CIP 110713, DSM 115985",1,Achromobacter aegrifaciens,Bacteria,Pseudomonadota,aerobe,1287736.3,1287736
,,,,,,,,2900112703,1287736
156530,,"CCUG 62440, LMG 26854",0,Achromobacter aegrifaciens,Bacteria,Pseudomonadota,aerobe,1287736.4,1287736
,,,,,,,obligate aerobe,2900120893,1287736
140509,,"LMG 3411, CCUG 62454",1,Achromobacter agilis,Bacteria,Pseudomonadota,aerobe,1353888.3,1353888
,,,,,,,obligate aerobe,2882181859,1353888
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,Achromobacter aloeverae,Bacteria,Pseudomonadota,aerobe,2881412998,1750518
,,,,,,,obligate aerobe,,
130142,"AU15230, AU 15230, R-46662","DSM 29601, CCUG 61966, LMG 26690, CIP 110841",1,Achromobacter animicus,Bacteria,Pseudomonadota,aerobe,1389935.3,1389935
,,,,,,,obligate aerobe,2902242375,1389935
156477,,"CCUG 61965, LMG 26689",0,Achromobacter animicus,Bacteria,Pseudomonadota,aerobe,1389935.4,1389935
,,,,,,,obligate aerobe,2900094115,1389935
156478,,"CCUG 61967, LMG 26691",0,Achromobacter animicus,Bacteria,Pseudomonadota,aerobe,1389935.5,1389935
,,,,,,,,2900137357,1389935
156534,"Vandamme R-47433, LiPuma AU11412","CCUG 62444, LMG 26857, CIP 110712",1,Achromobacter anxifer,Bacteria,Pseudomonadota,aerobe,1287737.4,1287737
,,,,,,,obligate aerobe,,
156535,,"CCUG 62445, LMG 26858",0,Achromobacter anxifer,Bacteria,Pseudomonadota,aerobe,1287737.3,1287737
,,,,,,,obligate aerobe,2902253905,1287737
140506,,"LMG 3458, CCUG 62433",1,Achromobacter deleyi,Bacteria,Pseudomonadota,aerobe,1353891.6,1353891
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,Achromobacter denitrificans,Bacteria,Pseudomonadota,aerobe,1255278.4,1255278
,,,,,,,obligate aerobe,2731957627,1255278
,,,,,,,,2811995195,32002
,,,,,,,,32002.3,32002
,,,,,,,,32002.36,32002
,,,,,,,,32002.39,32002
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,Achromobacter denitrificans,Bacteria,Pseudomonadota,aerobe,32002.37,32002
,,,,,,,obligate aerobe,,
134918,"Vandamme R-47430, LiPuma AU4012, AU4012, R-47430","CIP 110711, LMG 26840, CCUG 62421, DSM 115983",1,Achromobacter dolens,Bacteria,Pseudomonadota,aerobe,1287738.5,1287738
,,,,,,,obligate aerobe,2900088174,1287738
156522,,"CCUG 62422, LMG 26841",0,Achromobacter dolens,Bacteria,Pseudomonadota,aerobe,1287738.7,1287738
,,,,,,,obligate aerobe,2900142850,1287738
156523,,"CCUG 62423, LMG 26842",0,Achromobacter dolens,Bacteria,Pseudomonadota,aerobe,1287738.6,1287738
,,,,,,,obligate aerobe,2900106755,1287738
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,Achromobacter insolitus,Bacteria,Pseudomonadota,aerobe,217204.13,217204
,,,,,,,obligate aerobe,217204.3,217204
,,,,,,,,217204.5,217204
,,,,,,,,2751185845,217204
,,,,,,,,2855745187,217204
152561,,"CCUG 47056, LMG 5997",0,Achromobacter insolitus,Bacteria,Pseudomonadota,aerobe,217204.15,217204
152562,,"CCUG 47058, LMG 6000",0,Achromobacter insolitus,Bacteria,Pseudomonadota,aerobe,217204.14,217204
152564,,"CCUG 47060, LMG 6001",0,Achromobacter insolitus,Bacteria,Pseudomonadota,aerobe,217204.16,217204
,,,,,,,obligate aerobe,,
136698,"LiPuma AU15210, Vandamme R-47438","CIP 110710, LMG 26845, CCUG 62426, DSM 115984",1,Achromobacter insuavis,Bacteria,Pseudomonadota,aerobe,1287735.15,1287735
,,,,,,,obligate aerobe,,
156525,,"CCUG 62427, LMG 26846",0,Achromobacter insuavis,Bacteria,Pseudomonadota,aerobe,1287735.16,1287735
,,,,,,,obligate aerobe,,
140507,,"CCUG 62449, LMG 3441",1,Achromobacter kerstersii,Bacteria,Pseudomonadota,aerobe,1353890.3,1353890
,,,,,,,,2921339674,1353890
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,Achromobacter marplatensis,Bacteria,Pseudomonadota,aerobe,2770939588,470868
,,,,,,,obligate aerobe,470868.5,470868
,,,,,,,,470868.6,470868
130143,"AU 13054, R-46658","DSM 29602, LMG 26685, CCUG 61961, CIP 110844",1,Achromobacter mucicolens,Bacteria,Pseudomonadota,aerobe,1389922.4,1389922
,,,,,,,obligate aerobe,,
136829,,"CIP 60.81, ATCC 13138, JCM 20671, IAM 12594, LMG 3415, JCM 9658",0,Achromobacter mucicolens,Bacteria,Pseudomonadota,aerobe,1389922.7,1389922
,,,,,,,obligate aerobe,,
156473,,"CCUG 61960, LMG 26684",0,Achromobacter mucicolens,Bacteria,Pseudomonadota,aerobe,1389922.5,1389922
,,,,,,,obligate aerobe,,
156474,,"CCUG 61962, LMG 26686",0,Achromobacter mucicolens,Bacteria,Pseudomonadota,aerobe,1389922.6,1389922
,,,,,,,obligate aerobe,,
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,Achromobacter pestifer,Bacteria,Pseudomonadota,aerobe,1353889.3,1353889
,,,,,,,obligate aerobe,2921347846,1353889
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,Achromobacter piechaudii,Bacteria,Pseudomonadota,aerobe,1216977.3,1216977
,,,,,,,obligate aerobe,2681812971,1216977
,,,,,,,,72556.17,72556
156467,,"CCUG 61953, LMG 6103",0,Achromobacter piechaudii,Bacteria,Pseudomonadota,aerobe,72556.2,72556
130144,"E38/27-S, R-16442","DSM 29617, CCUG 61972, LMG 26696, CIP 110842",1,Achromobacter pulmonis,Bacteria,Pseudomonadota,aerobe,1389932.4,1389932
,,,,,,,obligate aerobe,,
156481,,"CCUG 61971, LMG 26788",0,Achromobacter pulmonis,Bacteria,Pseudomonadota,aerobe,1389932.5,1389932
,,,,,,,obligate aerobe,,
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,Achromobacter ruhlandii,Bacteria,Pseudomonadota,obligate aerobe,72557.63,72557
156468,,"CCUG 61954, LMG 1864, JCM 20746, CDC B7076, GIFU 956, IAM 12687",0,Achromobacter ruhlandii,Bacteria,Pseudomonadota,aerobe,72557.64,72557
,,,,,,,obligate aerobe,,
156469,,"CCUG 61955, LMG 3328, CIP 21.75",0,Achromobacter ruhlandii,Bacteria,Pseudomonadota,aerobe,72557.65,72557
,,,,,,,obligate aerobe,,
311,,"DSM 30031, ATCC 337, CCUG 228, NCTC 3233",0,Achromobacter sp.,Bacteria,Pseudomonadota,aerobe,2814123178,72556
,,,,,,,,32002.25,32002
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,Achromobacter spanius,Bacteria,Pseudomonadota,aerobe,217203.1,217203
,,,,,,,obligate aerobe,217203.24,217203
,,,,,,,,2802429335,217203
168915,,"LMG 30378, CCUG 71558",1,Achromobacter veterisilvae,Bacteria,Pseudomonadota,anaerobe,2069367.3,2069367
,,,,,,,,UFQC01000000,2069367
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,Achromobacter xylosoxidans,Bacteria,Pseudomonadota,aerobe,2841492466,85698
,,,,,,,obligate aerobe,85698.131,85698
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,Achromobacter xylosoxidans subsp. xylosoxidans,Bacteria,Pseudomonadota,aerobe,1216976.3,1216976
,,,,,,,obligate aerobe,1216976.8,1216976
,,,,,,,,2558309085,1216976
,,,,,,,,2667527485,85698
,,,,,,,,2731957707,1216976
,,,,,,,,85698.244,85698
,,,,,,,,85698.28,85698
,,,,,,,,LN831029,85698
300,,"DSM 26050, CCUG 48584",0,Achromobacter xylosoxidans subsp. xylosoxidans,Bacteria,Pseudomonadota,aerobe,85698.299,85698
17960,,"DSM 2784, Glu 65, CIP 106102",1,Acidaminobacter hydrogenoformans,Bacteria,Bacillota,anaerobe,1120920.3,1120920
,,,,,,,,2599185234,1120920
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,Acidaminococcus fermentans,Bacteria,Bacillota,anaerobe,591001.17,591001
,,,,,,,,591001.18,591001
,,,,,,,,591001.3,591001
