"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
2903,R-24608,"DSM 19327, LMG 24103",1,"Acidovorax caeni",Bacteria,"facultative aerobe",GCA_900116825,343013.6,2634166357
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,"Aeriscardovia aeriphila",Bacteria,"facultative aerobe",GCA_002259595,218139.3,2788500099
,,,,,,,GCA_013408435,218139.4,2824784629
272,A55,"DSM 18362, CECT 7289, LMG 24688, MDC 47",0,"Aeromonas dhakensis",Bacteria,"facultative aerobe",GCA_000819705,196024.5,2639762872
166301,WN023,"KCTC 52855, ACCC 19978",1,"Fodinibius salipaludis",Bacteria,"facultative aerobe",GCA_002287075,2032627.3,2832733198
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,"Amphibacillus cookii",Bacteria,"facultative aerobe",GCA_016908375,767787.3,2901114716
23742,J1,"DSM 27991, CGMCC 1.10434, JCM 17099",1,"Amphibacillus marinus",Bacteria,"facultative aerobe",GCA_900110345,872970.3,2617270769
566,"T-11, T11","DSM 23211, CCTCC AB 209237, KCTC 13721",1,"Anoxybacillus tengchongensis",Bacteria,"facultative aerobe",GCA_014201585,576944.3,2861217274
557,"TH 13","DSM 17075, JCM 12111, NCIMB 13956",1,"Anoxybacteroides voinovskiense",Bacteria,"facultative aerobe",GCA_014196205,230470.4,2829825107
4301,,"DSM 18102, CCM 7368, CECT 7151, CGMCC 1.6291, CG 12, CIP 109713",1,"Aquisalimonas asiatica",Bacteria,"facultative aerobe",GCA_900110585,406100.9,2617270766
24797,110S,"DSM 23922, ATCC BAA-2145, JCM 17282, KCTC 23289, NBRC 107679",1,"Ardenticatena maritima",Bacteria,"facultative aerobe",GCA_001293545,872965.10,2671180960
,,,,,,,GCA_001306175,872965.11,2651869644
133984,P7-3-5,"CGMCC 1.12213, KACC 16457",1,"Algibacter luteus",Bacteria,"facultative aerobe",GCA_000283015,1178825.3,2565956800
,,,,,,,GCA_900141715,1178825.6,2667528186
158604,4M3-2,"CFCC 11187, KCTC 42087",1,"Aureimonas populi",Bacteria,"facultative aerobe",GCA_017815515,1701758.3,3002172212
13889,d8-1,"DSM 23864, BCRC 17657, LMG 24005",1,"Azonexus hydrophilus",Bacteria,"facultative aerobe",GCA_000429605,1121032.3,2524023152
140877,CC-HIH038,"BCRC 80909, JCM 30827, CECT 9207",1,"Azospirillum agricola",Bacteria,"facultative aerobe",GCA_017876095,1720247.3,2918249483
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,"Bifidobacterium psychraerophilum",Bacteria,"facultative aerobe",GCA_000741705,218140.3,2597490219
