"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,"Abiotrophia defectiva",Bacteria,"facultative anaerobe",GCA_000160075,592010.4,2562617177
,,,,,,,GCA_013267415,46125.34,8062750990
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",Bacteria,"facultative anaerobe",GCA_004359375,1720083.4,2870197841
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,"Acholeplasma equirhinis",Bacteria,"facultative anaerobe",GCA_017052655,555393.3,8002328373
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,"Acidipropionibacterium acidipropionici",Bacteria,"facultative anaerobe",GCA_000427845,1111734.3,2513237117
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,"Acidipropionibacterium acidipropionici",Bacteria,"facultative anaerobe",GCA_000310065,1171373.8,2521172602
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,"Acidipropionibacterium jensenii",Bacteria,"facultative anaerobe",GCA_000425285,1122997.3,2523533551
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",Bacteria,"facultative anaerobe",GCA_010378095,2678518.3,2895580592
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",Bacteria,"facultative anaerobe",GCA_003966655,1232575.7,2824077352
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,"Acidovorax defluvii",Bacteria,"facultative anaerobe",GCA_003268905,86669.4,2756170235
8148,A648,"DSM 25388, CCM 7832, CIP 110367, MTCC 10660, CCUG 69702, ANC 4215",1,"Acinetobacter indicus",Bacteria,"facultative anaerobe",GCA_000413875,1217660.3,2565956693
,,,,,,,GCA_000488255,1341679.3,2579779046
,,,,,,,GCA_000830155,1341679.5,2663763131
158638,LW15,"MCCC 1K03337, CICC 24241, KCTC 62134, JCM 32101",1,"Acinetobacter piscicola",Bacteria,"facultative anaerobe",GCA_002233755,2006115.3,2791355509
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,"Actinobacillus capsulatus",Bacteria,"facultative anaerobe",GCA_000374285,1120931.3,2519899771
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,"Actinobacillus equuli subsp. haemolyticus",Bacteria,"facultative anaerobe",GCA_029773665,202948.5,8086591126
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,"Actinobacillus minor",Bacteria,"facultative anaerobe",GCA_000175195,637911.3,645058770
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,"Actinobacillus rossii",Bacteria,"facultative anaerobe",GCA_900444965,123820.3,2896164284
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,"Actinomyces denticolens",Bacteria,"facultative anaerobe",GCA_001995055,52767.4,8117799547
,,,,,,,GCA_900445045,52767.7,2808606642
140372,pika_113,"DSM 104049, CGMCC 4.7372",1,"Actinomyces gaoshouyii",Bacteria,"facultative anaerobe",GCA_002072175,1960083.3,8118175678
,,,,,,,GCA_014646495,1960083.5,8112848464
151,"Jr 277 (CDC W855)","DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,"Actinomyces israelii",Bacteria,"facultative anaerobe",GCA_000711965,1120944.3,2565956542
,,,,,,,GCA_900637225,1659.4,2843235134
166249,2129,"CGMCC 4.7483, DSM 106426",1,"Actinomyces lilanjuaniae",Bacteria,"facultative anaerobe",GCA_003606385,2321394.3,2843232274
192,4401292,"DSM 23047, CCUG 53522, KCTC 15158, CSUR P18, JCM 16130, CIP 109360",1,"Actinomyces massiliensis",Bacteria,"facultative anaerobe",GCA_000269805,1167628.4,2548876973
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,"Actinomyces naeslundii",Bacteria,"facultative anaerobe",GCA_000285995,1115803.3,2531839542
187,R5292,"KCTC 15234, DSM 17234, CCUG 46090, CIP 107639, Hall R5292, JCM 17565",1,"Actinomyces oricola",Bacteria,"facultative anaerobe",GCA_004104015,206043.3,2867461147
159350,410,"DSM 106201, CGMCC 1.16361",1,"Actinomyces qiguomingii",Bacteria,"facultative anaerobe",GCA_004102025,2057800.3,2867002583
176,"AO 96-06841","DSM 15433, CCUG 36733, CIP 106352",1,"Actinomyces radicidentis",Bacteria,"facultative anaerobe",GCA_001553565,111015.3,2687453525
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",Bacteria,"facultative anaerobe",GCA_000159035,525246.3,643886015
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,"Actinomyces viscosus",Bacteria,"facultative anaerobe",GCA_004525795,1656.9,2868359304
,,,,,,,GCA_900637975,1656.7,2868063378
196,"2298, 2298/06","DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472",1,"Actinomyces weissii",Bacteria,"facultative anaerobe",GCA_016598775,675090.3,3003384450
2385,M,"DSM 3133, ATCC 43279, CFBP 4259, CIP 103003, JCM 9966, LMG 16154, NBRC 105374, NBRC 15517, BCRC 14866, IFO 15517, KCTC 3251, LMG 17239",1,"Actinotalea fermentans",Bacteria,"facultative anaerobe",GCA_000767215,862422.3,2636415524
,,,,,,,GCA_001313965,862422.7,2734481966
,,,,,,,GCA_004769145,862422.8,8118151526
,,,,,,,GCA_007991475,43671.3,8048198971
145,"B 5329","DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738",1,"Actinotignum schaalii",Bacteria,"facultative anaerobe",GCA_000429205,1120932.3,2524614731
,,,,,,,GCA_000724605,59505.5,2585427650
226,"UW06, UW 06","DSM 15819, CCM 4911, CCUG 28831, CIP 106115, JCM 18985, ATCC 48849, LMG 19525",1,"Aerococcus christensenii",Bacteria,"facultative anaerobe",GCA_001466745,525247.5,2728369595
,,,,,,,GCA_001543105,87541.3,2687453475
224,SS-1647,"DSM 15633, CCUG 43001, CDC 348-00, CIP 106533, JCM 11549, ATCC BAA-465",1,"Aerococcus sanguinicola",Bacteria,"facultative anaerobe",GCA_001543145,119206.53,2687453481
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,"Aerococcus suis",Bacteria,"facultative anaerobe",GCA_900176325,371602.3,2622736423
223,E2,"DSM 7446, ATCC 51268, JCM 18986, NCFB 2893, NCTC 12142, CCM 4310, CCUG 29291, CCUG 29564, CCUG 34223, CCUG 36881, CIP 104688, IFO 15544, LMG 17750, LMG 19527, NBRC 15544, NCIMB 702893",1,"Aerococcus urinae",Bacteria,"facultative anaerobe",GCA_001543175,1376.123,2687453482
,,,,,,,GCA_001544335,1216979.3,2681812972
,,,,,,,GCA_002087935,1376.307,8118337366
222,PUE,"CCUG 28094, CIP 103442, NCIMB 701636, DSM 20341, ATCC 29723, JCM 12519, NCDO 1636, LMG 11420, LMG 13989",1,"Aerococcus urinaeequi",Bacteria,"facultative anaerobe",GCA_000425085,1120952.3,2524614650
,,,,,,,GCA_001543205,51665.4,2671180343
225,,"CCUG 42038 B, CCM 7338, DSM 15634, ATCC BAA-464, CIP 106675, JCM 18987, CCUG 42038, CCUG 42038b",1,"Aerococcus urinaehominis",Bacteria,"facultative anaerobe",GCA_001543245,128944.3,2687453476
,,,,,,,GCA_900103385,128944.7,2619619005
221,M1,"DSM 20340, ATCC 11563, CCM 1914, IAM 13649, JCM 20461, NCDO 1225, NCTC 8251, WDCM 00061, CCUG 4311, CIP 54.145, IAM 12302, IFO 12219, LMG 17931, NBRC 12219, NISL 7400, IMET 11154, NCIMB 11775, CECT 978",1,"Aerococcus viridans",Bacteria,"facultative anaerobe",GCA_000178435,655812.3,647000207
,,,,,,,GCA_001543285,1377.3,2684623177
,,,,,,,GCA_900445095,1377.15,2811995224
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,"Aeromicrobium flavum",Bacteria,"facultative anaerobe",GCA_007992115,416568.3,3002384095
23547,266,"DSM 27583, CECT 8023, LMG 26707, CIP 110626, LMG 2670",1,"Aeromonas australiensis",Bacteria,"facultative anaerobe",GCA_000819725,1114880.3,2639763046
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,"Aeromonas bivalvium",Bacteria,"facultative anaerobe",GCA_000819765,440079.3,2639762879
253,B-968,"DSM 7323, ATCC 15468, NRRL B-968, WDCM 00062, NCTC 12244, JCM 1060, BCRC 16001, CCM 4491, CCUG 25939, CECT 838, CGMCC 1.1960, CIP 76.16, GTC 00465, LMG 12160, LMG 3775, NCAIM B.01931, NCIMB 13016, CIP 110812",1,"Aeromonas caviae",Bacteria,"facultative anaerobe",GCA_000819785,648.21,2654587763
,,,,,,,GCA_018360005,648.319,8119342428
,,,,,,,GCA_900476005,648.115,2852469294
