,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24,Oxygen2
3752,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
4561,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1
476,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1475,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
1198,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0
3037,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
3960,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
432,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
3616,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3682,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
78,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1790,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1
4578,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1
1482,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
81,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
4072,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
426,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
5040,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1
1642,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4663,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3138,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
3154,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2485,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4324,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
457,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2768,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
698,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
2754,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
549,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1
4375,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
1941,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0
5103,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4175,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
821,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2727,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0
314,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
2197,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
3403,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
348,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1
2444,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
3833,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3544,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1631,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1
4381,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
1228,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
5245,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
3495,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3884,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1786,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3683,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
529,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
1975,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
2673,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
2484,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0
1745,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
4196,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4989,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
318,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
4923,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0
4055,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3437,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0
5398,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1
3971,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
645,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
4882,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
734,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1019,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0
2510,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
4911,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
376,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
4854,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2388,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2913,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2811,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
2654,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
478,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2081,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
189,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
890,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0
1450,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
396,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1188,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
2194,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
1832,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
2196,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
2203,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5264,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
259,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
5399,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
397,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
4389,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
841,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
268,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
193,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
132,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1
3482,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2943,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2715,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0
4607,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
4964,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1
2718,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
2262,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
5243,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
2577,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
3878,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1
1666,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1383,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0
4721,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4531,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1
4007,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3795,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
340,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
943,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1
4799,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1
4424,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
967,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
