SampleID,Filt_Reads,Bact_Reads,Per_Bact
SRR4305032,948700,673687,71.01159481
SRR4305052,2046175,1391780,68.01862011
SRR4305053,1345356,944276,70.18781646
SRR4305074,1074722,765427,71.22092969
SRR4305077,3333353,2481510,74.44486078
SRR4305088,2385626,1694023,71.00957988
SRR4305091,910224,557793,61.28084955
SRR4305099,2322579,882185,37.98299218
SRR4305172,784657,542870,69.18564417
SRR4305173,664355,447048,67.29052991
SRR4305174,847680,579146,68.32130049
SRR4305176,322096,233523,72.50105559
SRR4305187,1521523,1017925,66.90171624
SRR4305202,3376110,1559937,46.20515919
SRR4305203,709213,508047,71.63531971
SRR4305204,213626,146338,68.50196137
SRR4305205,769857,535146,69.51238996
SRR4305206,1090094,777242,71.30045666
SRR4305208,3616827,2544326,70.34690904
SRR4305222,1206934,744066,61.64926997
SRR4305225,527274,151553,28.74274097
SRR4305228,508713,355087,69.80104696
SRR4305255,327374,160231,48.94432667
SRR4305256,745121,527537,70.7988367
SRR4305264,514796,354496,68.86145191
SRR4305267,1116426,783627,70.1906799
SRR4305268,227603,142368,62.55102086
SRR4305269,1469555,1018621,69.31492867
SRR4305272,625869,381167,60.9020418
SRR4305273,1031704,635803,61.62649365
SRR4305274,1131613,777452,68.70299298
SRR4305283,345736,237756,68.76807738
SRR4305284,2306129,974884,42.27361089
SRR4305286,247483,181732,73.43211453
SRR4305287,177813,126983,71.41378864
SRR4305290,645429,334209,51.78090851
SRR4305291,18297,9557,52.23260644
SRR4305298,253154,184979,73.06975201
SRR4305304,764660,409322,53.52993487
SRR4305315,311522,223906,71.87485956
SRR4305336,441448,293560,66.49933854
SRR4305348,87714,57017,65.0033062
SRR4305351,1656470,1223336,73.85198645
SRR4305363,388776,243697,62.68313888
SRR4305373,626944,460262,73.41357442
SRR4305377,1605081,943523,58.78351311
SRR4305386,1143816,843461,73.74096883
SRR4305396,551788,163743,29.67498387
SRR4305405,911062,642402,70.51133732
SRR4305406,271435,198947,73.29452723
SRR4305407,288740,206708,71.58966544
SRR4305408,634060,193403,30.50231839
SRR4305409,261974,194156,74.11269821
SRR4305410,515094,294103,57.09695706
SRR4305457,2280046,1534117,67.28447584
SRR4305488,2004933,1450252,72.33418773
SRR4305502,1957957,1361813,69.5527532
SRR4305508,3931258,2890296,73.52089331
SRR4305515,3707910,2438206,65.75688191
SRR4305522,1404897,1025391,72.98691648
SRR4408030,264656,185538,70.1053443
SRR4408037,41378,29084,70.28855914
SRR4408038,2582855,1814241,70.24168991
SRR4408052,315745,231279,73.24866585
SRR4408083,91441,59832,65.43235529
SRR4408088,71189,38616,54.2443355
SRR4408123,90453,65031,71.89479619
SRR4408137,839923,476739,56.75984584
SRR4408153,729323,465902,63.88143525
SRR4408157,641448,430648,67.13685287
SRR4408168,2859613,1893588,66.21833094
SRR4408181,1917676,1141456,59.52288082
SRR4408184,531478,376842,70.90453415
SRR4408191,661060,355908,53.83898587
SRR4408194,407346,294499,72.29701531
SRR4408195,333183,233756,70.15844146
SRR4408205,622472,401809,64.550534
