Accession	FiltReads	BactReads
SRR4305052	2046175	1391780
SRR4305053	1345356	944276
SRR4305068	878765	409749
SRR4305080	4090838	2454702
SRR4305081	2446708	1449123
SRR4305111	1088049	690168
SRR4305112	1177273	845943
SRR4305116	760058	458877
SRR4305134	679469	429522
SRR4305135	1643220	988420
SRR4305145	1321512	715181
SRR4305160	1005272	651144
SRR4305161	5851656	3598077
SRR4305167	2156460	813514
SRR4305186	1170355	783046
SRR4305206	1090094	777242
SRR4305244	1870643	1356099
SRR4305272	3348883	2013861
SRR4305273	1031704	635803
SRR4305274	1131613	777452
SRR4305315	311522	223906
SRR4305317	3239099	2232848
SRR4305318	3878458	2244903
SRR4305319	997264	643443
SRR4305321	4503720	2541205
SRR4305325	866332	568627
SRR4305340	3897985	2483812
SRR4305354	1836509	1194354
SRR4305373	1396022	1025168
SRR4305384	3007628	1483653
SRR4305385	2166395	1539347
SRR4305386	3661780	2702454
SRR4305393	4092064	1739107
SRR4305394	4202455	528941
SRR4305403	2388022	1764246
SRR4305405	6670586	4680892
SRR4305419	3637503	2403291
SRR4305427	933439	629741
SRR4305432	3668194	1441556
SRR4305448	3006988	1532694
SRR4305453	4822816	3258662
SRR4305455	3344736	2285476
SRR4305474	3965923	2771702
SRR4305519	1459562	677743
SRR4305520	4205365	2281087
SRR4305521	1177854	558245
SRR4408003	673950	459793
SRR4408010	2876374	1922962
SRR4408018	2825463	2030737
SRR4408022	3372034	2358077
SRR4408025	1016270	476745
SRR4408027	3598022	2605436
SRR4408052	5169924	3788984
SRR4408053	1759414	1102307
SRR4408058	1048340	585009
SRR4408061	1518110	1048480
SRR4408067	1791107	897237
SRR4408075	604989	425283
SRR4408099	1568866	571405
SRR4408108	1505539	1084770
SRR4408133	1883140	1117486
SRR4408134	3317492	2172295
SRR4408135	2479061	1044526
SRR4408137	1583362	891716
SRR4408146	1645180	1216580
SRR4408168	4526889	2994553
SRR4408181	3590049	2121907
SRR4408210	1173758	875097
SRR4408217	2198180	1042245
SRR4408219	3331174	2058612
SRR4408238	2685174	1726434
SRR4408258	3966781	2758033
SRR4408283	1874587	712393
