site_id,latitude,longitude,et0_v3_yr,wc2.1_2.5m,AI
BONA,65.15401,-147.50258,643,329,0.511664075
CLBJ,33.40123,-97.57,1847,870,0.471034109
CPER,40.815536,-104.74559,1723,367,0.21300058
DCFS,47.16165,-99.10656,1154,438,0.379549393
DEJU,63.88112,-145.75136,620,290,0.467741935
DSNY,28.12505,-81.43619,1796,1222,0.680400891
GUAN,17.96955,-66.8687,1911,1027,0.537414966
HARV,42.53691,-72.17265,1003,1103,1.099700897
KONZ,39.100774,-96.563075,1544,892,0.577720207
LENO,31.853861,-88.161181,1535,1513,0.985667752
MLBS,37.378314,-80.524847,1093,1122,1.026532479
OAES,35.410599,-99.058779,1976,700,0.354251012
ONAQ,40.177599,-112.45245,1778,297,0.16704162
ORNL,35.964128,-84.282588,1285,1220,0.949416342
OSBS,29.689282,-81.993431,1630,1290,0.791411043
PUUM,19.55309,-155.31731,1177,2155,1.830926083
SCBI,38.892925,-78.139494,1232,1027,0.833603896
SJER,37.10878,-119.73228,2117,542,0.256022674
SRER,31.91068,-110.83549,2542,395,0.155389457
TALL,32.95047,-87.393259,1483,1449,0.9770735
TOOL,68.66109,-149.37047,436,239,0.548165138
UKFS,39.040431,-95.19215,1453,998,0.686854783
UNDE,46.23391,-89.537254,888,843,0.949324324
WOOD,47.1282,-99.241334,1150,423,0.367826087
WREF,45.82049,-121.95191,1081,1966,1.818686401
YELL,44.95348,-110.53914,1172,590,0.503412969
