"site_id","latitude","longitude"
"BONA",65.15401,-147.50258
"CLBJ",33.40123,-97.57
"CPER",40.815536,-104.74559
"DCFS",47.16165,-99.10656
"DEJU",63.88112,-145.75136
"DSNY",28.12505,-81.43619
"GUAN",17.96955,-66.8687
"HARV",42.53691,-72.17265
"KONZ",39.100774,-96.563075
"LENO",31.853861,-88.161181
"MLBS",37.378314,-80.524847
"OAES",35.410599,-99.058779
"ONAQ",40.177599,-112.45245
"ORNL",35.964128,-84.282588
"OSBS",29.689282,-81.993431
"PUUM",19.55309,-155.31731
"SCBI",38.892925,-78.139494
"SJER",37.10878,-119.73228
"SRER",31.91068,-110.83549
"TALL",32.95047,-87.393259
"TOOL",68.66109,-149.37047
"UKFS",39.040431,-95.19215
"UNDE",46.23391,-89.537254
"WOOD",47.1282,-99.241334
"WREF",45.82049,-121.95191
"YELL",44.95348,-110.53914
