sample name	collection date	geographic location (latitude and longitude)	elevation, meters	depth, meters	soil horizon	temperature	collection time, GMT	sample collection device	pH	sample linkage	mean annual precipitation	mean annual temperature	geographic location (country and/or sea,region)	broad-scale environmental context	local environmental context	ecosystem_type	ecosystem_subtype	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	GOLD Study ID	Genome Size  * assembled	Gene Count  * assembled	MetaBAT Bin Count  * assembled	dnaSampleID
BONA_001-O-20230710-COMP	2023-07-10	65.174447 -147.478155	374.1	0 - 0.107	O horizon	8.1	19:49:00	brownie cutter	3.993976182	composite: BONA_001-O-39-20230710,BONA_001-O-41-20230710,BONA_001-O-23-20230710	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_001-O-20230710-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079481	Metagenome Analysis	Gs0166454	1470394699	2251958	23	BONA_001-O-20230710-COMP-DNA1
BONA_002-O-20230711-COMP	2023-07-11	65.163534 -147.527149	484.2	0 - 0.076	O horizon	7.766666667	21:11:00	brownie cutter	4.352447623	composite: BONA_002-O-23-20230711,BONA_002-O-41-20230711,BONA_002-O-21-20230711	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_002-O-20230711-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079169	Metagenome Analysis	Gs0166454	1666944590	2689439	20	BONA_002-O-20230711-COMP-DNA1
BONA_004-O-20230712-COMP	2023-07-12	65.190675 -147.536694	668.9	0 - 0.144	O horizon	8.1	18:24:00	brownie cutter	3.687784969	composite: BONA_004-O-39-20230712,BONA_004-O-41-20230712,BONA_004-O-23-20230712	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_004-O-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079119	Metagenome Analysis	Gs0166454	1833963405	2840509	25	BONA_004-O-20230712-COMP-DNA1
BONA_006-O-20230710-COMP	2023-07-10	65.176107 -147.544089	507	0 - 0.106	O horizon	10.8	23:55:00	brownie cutter	4.047529127	composite: BONA_006-O-39-20230710,BONA_006-O-41-20230710,BONA_006-O-23-20230710	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_006-O-20230710-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079305	Metagenome Analysis	Gs0166454	1276913080	2090889	19	BONA_006-O-20230710-COMP-DNA1
BONA_009-O-20230711-COMP	2023-07-11	65.169192 -147.520277	429.6	0 - 0.127	O horizon	7.933333333	18:43:00	brownie cutter	4.080272308	composite: BONA_009-O-41-20230711,BONA_009-O-23-20230711,BONA_009-O-39-20230711	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	tundra biome [ENVO:01000180]	area of scrub [ENVO:01000869]	Soil	Shrubland	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_009-O-20230711-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079394	Metagenome Analysis	Gs0166454	1315774607	2155803	13	BONA_009-O-20230711-COMP-DNA1
BONA_013-O-20230710-COMP	2023-07-10	65.17688 -147.559452	540.5	0 - 0.139	O horizon	7.933333333	20:47:00	brownie cutter	3.969468193	composite: BONA_013-O-23-20230710,BONA_013-O-21-20230710,BONA_013-O-39-20230710	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	temperate mixed forest biome [ENVO:01000212]	temperate mixed forest [ENVO:01001796]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_013-O-20230710-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079306	Metagenome Analysis	Gs0166454	1949889815	3226084	18	BONA_013-O-20230710-COMP-DNA1
BONA_070-O-20230712-COMP	2023-07-12	65.153632 -147.509712	237.7	0 - 0.264	O horizon	8.466666667	21:25:00	brownie cutter	4.2762199	composite: BONA_070-O-23-20230712,BONA_070-O-21-20230712,BONA_070-O-39-20230712	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_070-O-20230712-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078357	Metagenome Analysis	Gs0166454	1300451863	2018449	9	BONA_070-O-20230712-COMP-DNA1
BONA_071-O-20230711-COMP	2023-07-11	65.154979 -147.507196	246.1	0 - 0.291	O horizon	8.633333333	22:31:00	brownie cutter	4.202356382	composite: BONA_071-O-39-20230711,BONA_071-O-41-20230711,BONA_071-O-21-20230711	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_071-O-20230711-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079120	Metagenome Analysis	Gs0166454	1031574413	1621311	10	BONA_071-O-20230711-COMP-DNA1
BONA_080-O-20230713-COMP	2023-07-13	65.153889 -147.512286	241.8	0 - 0.189	O horizon	5.966666667	19:32:00	brownie cutter	3.950404715	composite: BONA_080-O-41-20230713,BONA_080-O-23-20230714,BONA_080-O-39-20230714	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	subpolar coniferous forest biome [ENVO:01000250]	area of evergreen forest [ENVO:01000843]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_080-O-20230713-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300079400	Metagenome Analysis	Gs0166454	1627984953	2484212	19	BONA_080-O-20230713-COMP-DNA1
BONA_084-O-20230713-COMP	2023-07-13	65.155247 -147.512957	263.5	0 - 0.074	O horizon	9.7	18:12:00	brownie cutter	4.998883918	composite: BONA_084-O-39-20230713,BONA_084-O-21-20230713,BONA_084-O-41-20230714	262 mm	-3 Cel	USA: AK, Fairbanks North Star County	temperate broadleaf forest biome [ENVO:01000202]	temperate deciduous broadleaf forest [ENVO:01000385]	Soil	Forest	*Microbiome	Permanent Draft	Soil and water microbial communities from various NEON Field Sites across the United States	Soil microbial communities from Caribou-Poker Creeks Research Watershed NEON Field Site, Alaska, USA - BONA_084-O-20230713-COMP-DNA1	DOE Joint Genome Institute  (JGI)	3300078416	Metagenome Analysis	Gs0166454	780987877	1260503	9	BONA_084-O-20230713-COMP-DNA1
