"sampleID","Cluster","ratio","Pfams","aerobe_pfams","anaerobe_pfams","Per_aerobe","Method"
"BV1","Right",NA,3,0,3,0,"Presence/Absence"
"BV3","Right",NA,5,0,5,0,"Presence/Absence"
"LG1","Right",0.029128981612382,10,3,7,0,"Ratio"
"LG2","Right",0.00128663958441876,7,1,6,0,"Ratio"
"LG3","Right",0.0451736208174334,9,3,6,0,"Ratio"
"LG4","Right",0.0742580562921919,6,2,4,0,"Ratio"
"LG5","Right",0.00112129409080784,6,1,5,0,"Ratio"
"LG6","Right",NA,5,0,5,0,"Presence/Absence"
"LG7","Right",0.00600173315560968,6,1,5,0,"Ratio"
"MA1","Right",NA,6,0,6,0,"Presence/Absence"
"MA2","Right",NA,6,0,6,0,"Presence/Absence"
"MBL1","Left",8.85080363580622,5,3,2,73.2392422391815,"Ratio"
"MBL2","Left",4.65840153873353,5,4,1,57.7730141525375,"Ratio"
"MV1","Left",35.9707358340495,7,5,2,100,"Ratio"
"MV2","Left",15.9519394849315,9,7,2,81.2061501909044,"Ratio"
"PM1","Right",NA,5,0,5,0,"Presence/Absence"
"RM2","Left",11.3286972259346,3,2,1,80.2034732577789,"Ratio"
