MDS1 MDS2 Sample Age GeoCluster AgeBin Region Shape
-0.668081213557314 0.000132535113487146 AIS1 550 5 550 Antarctica 16
0.513327957001847 -7.42388670314133e-05 BV1 17 2 16-25 Antarctica 16
0.513367122718571 -3.6207133785017e-05 BV2 20 2 16-25 Antarctica 16
0.51358208171599 -0.000227866038651041 BV3 20 2 16-25 Antarctica 16
-0.667986421199594 0.000299400230703588 EM2 250 6 200-250 Antarctica 16
-0.667828281743985 0.000262143747332039 EM3 226 6 200-250 Antarctica 16
-0.667656260202989 0.000275038807119006 EM4 226 6 200-250 Antarctica 16
0.513843440639228 1.97636703308765e-05 LG1 18 8 16-25 Antarctica 16
0.513873008449987 0.000108455384486126 LG2 19 8 16-25 Antarctica 16
0.513712391861058 9.06119200958107e-05 LG3 21 8 16-25 Antarctica 16
0.513831497377357 0.000184154319795121 LG4 23 8 16-25 Antarctica 16
0.513861483136775 5.90437267850694e-05 LG5 25 8 16-25 Antarctica 16
0.513754024932367 9.15338903831642e-05 LG6 24 8 16-25 Antarctica 16
0.513794495954486 8.43782063825072e-05 LG7 31 8 26-99 Antarctica 16
0.51372566003585 -0.000316228575342537 MA1 43 4 26-99 Antarctica 16
0.513757343976635 -0.000333487357731629 MA2 43 4 26-99 Antarctica 16
-0.667715663831466 -9.03903809463866e-05 MBL1 50 3 26-99 Antarctica 16
-0.667637700333405 -0.000235240130911088 MBL2 40 3 26-99 Antarctica 16
-0.6679552610623 -0.000338922034620176 MV1 16 1 16-25 Antarctica 16
-0.667933275211632 -0.000318967740813686 MV2 16 1 16-25 Antarctica 16
0.513725194673395 0.000349996274604524 PM1 200 7 200-250 Antarctica 16
-0.667736501913772 1.24929276142142e-05 RM1 115 6 100-199 Antarctica 16
-0.66762512341709 2.00004071378239e-06 RM2 115 6 100-199 Antarctica 16
