sampleID	QC_reads	Bact_Reads
19485	15326241	4954612
19493	11289420	4019068
19495	13582778	6649132
19497	19235092	6839426
7035	30306814	13812173
7069	25017217	12410749
7091	27941931	13559763
7093	32656163	12844219
8162	10977446	4682095
8164	19492877	8873949
8455	15169064	5680171
8457	17510909	7502469
8459	26248823	10199981
8461	14920836	8943683
9514	13063217	6094242
ERR2641792	53335	43531
ERR2641793	7296552	4931247
ERR2641795	9750888	6125323
ERR2641798	15412161	9944494
ERR2641799	11064243	8236915
ERR315858	28917058	5770330
ERR315861	30588455	6084792
ERR315862	129319957	20967628
ERR315863	49048546	9099374
ERR3451635	23739272	15548483
ERR3452318	21503655	11640867
ERR3452529	22986213	13151047
ERR3452574	21488841	14043977
ERR3452699	17149146	13481223
ERR598951	24915419	5193641
ERR598955	125606480	32324572
ERR598993	135925629	32758428
ERR599003	19096055	4877375
ERR599041	36642238	11243834
ERR599043	139989090	28863040
ERR599049	57936248	16801214
ERR599116	100395372	30341520
ERR599134	31238523	9247554
ERR599140	19909298	4649551
ERR599155	16270319	4869748
icac0	9570827	2300862
icac10	7255430	1476700
icac20	11317787	2464705
icac30	10932048	2402317
icac40	9447040	1927389
icac50	9636850	2045733
icac60	3523180	645375
icac70	2418251	470937
SRR10011685	1462297	419939
SRR10011686	2278261	622951
SRR10011687	1847154	494628
SRR10011688	1926777	567920
SRR10011689	2589969	553062
SRR10011690	2518688	512402
SRR10011691	2498782	604031
SRR10011692	2607820	648128
SRR10011696	1293081	383273
SRR10011697	2428122	755678
SRR10011748	2617466	651215
SRR10011749	2342975	651789
SRR10011751	1863792	494382
SRR10011764	2470533	502873
SRR10011765	1955916	399552
SRR10143150	197761260	46284566
SRR10143161	237226616	56705211
SRR10143162	207553599	43836968
SRR10143164	262624251	77074450
SRR10143166	199427090	40229358
SRR10143270	48823903	11695456
SRR10680548	25485611	16658672
SRR10680549	26063844	20981616
SRR10680550	22739788	18555626
SRR10680551	24741928	17281939
SRR10680552	24034953	16404781
SRR10916535	187369913	50066139
SRR11608765	53349870	12555606
SRR11609031	398936181	99898651
SRR12347132	2362433	346948
SRR12347133	2076440	356147
SRR12347134	3769428	663023
SRR12347135	2488814	433403
SRR12347136	2301155	435367
SRR12347137	1927672	305710
SRR12347138	1623167	285711
SRR12347139	1744824	363285
SRR12347140	2101370	295441
SRR12347141	3157523	423498
SRR12347142	2026414	269302
SRR12347143	2369114	314420
SRR12347144	2245152	316549
SRR12347145	2065752	365060
SRR12347146	1643401	344892
SRR12822926	3191348	698567
SRR12883924	1649145	317159
SRR12886463	8560809	1149921
SRR12886465	76527629	22157563
SRR12886645	5031286	895577
SRR12887238	3346802	641124
SRR12887798	7278297	1193568
SRR12888151	1078712	103462
SRR12893484	3092082	656853
SRR12893485	4861853	952925
SRR12893486	6293388	1231287
SRR12894080	1024855	120148
SRR12894081	1159881	127086
SRR13077601	3793797	810344
SRR13077602	5643738	1229024
SRR5817588	11384161	2612420
SRR5817589	53170193	11075977
SRR5817590	14154249	3523245
SRR8397910	30280529	4491931
SRR8397911	6713804	1058709
SRR8397912	22730737	3964085
SRR8397914	21564284	2665587
SRR8397915	12829639	1430509
SRR8397916	17669098	2566323
SRR8397919	16021760	1835530
SRR8397920	6809354	1320978
SRR8397921	16194426	2734052
SRR8397922	209356	28616
SRR8397923	25498261	3890528
SRR8397924	27438209	4929139
SRR8397925	25933528	4530363
SRR8397926	24401467	3804839
SRR8397927	12981581	1640499
prar40	11253156	2753912
SRR12883922	9142516	1764223
SRR12883923	5377177	884837
SRR12883926	98396352	19177719
SRR12883927	10310002	4116351
SRR12886460	15362727	4404840
SRR12886461	462967	128299
SRR12886464	50718401	22802215
SRR12886642	5687715	1028014
SRR12886643	8643857	1697168
SRR12887234	510754	57218
SRR12887795	7671431	1031825
SRR12887796	3091595	644044
SRR12888148	4948332	678814
SRR12893483	4902335	1029520
SRR12894171	3821828	756654
garn0	4044479	987606
garn10	1604125	250377
garn20	916998	161591
garn30	3519310	691393
garn40	4223157	821257
garn50	1591157	449682
garn60	4049427	871901
garn70	3583363	625805
mead0	5172839	2650583
mead10	3302809	1255525
mead20	3445702	1232000
mead30	5366788	1824057
mead40	4697246	2402856
mead50	4562014	2067784
mead60	2338005	658030
mead70	3029072	900806
prar0	4688302	2019798
prar10	3965119	1167995
prar20	3329898	1009184
prar30	3315605	983666
prar50	4592602	1762541
prar60	5220075	2471013
prar70	3321602	1372336
scst0	1802539	611804
scst10	3930566	1516526
scst20	4579326	2083459
scst30	5821408	2111999
scst40	2932829	825227
scst50	4208823	1467888
scst60	3921587	1289489
scst70	4707576	1734505
ERR10121394	10588079	3049472
ERR10121395	7256441	1958038
ERR10121396	8695935	2489456
ERR10122996	9276764	1583271
ERR10122997	6847083	1175750
ERR10122998	7690249	1313696
ERR10123205	29001714	3755957
ERR10123206	29366377	3842843
ERR10123207	28529917	3656105
ERR10123307	14439152	2477483
ERR10123308	25069697	4333069
ERR10123309	26098516	4429321
ERR10123762	23111101	4029383
ERR10123763	26058968	4601460
ERR10123858	29827213	5247234
ERR5010624	17663970	2771911
ERR5010636	23774131	3806971
ERR5010643	30812782	4611361
ERR5010668	23793148	3912078
ERR5010674	33495844	6992094
ERR5010676	25113757	5744473
ERR5010677	37094312	6883960
ERR5010688	28800804	4726691
ERR5010694	35176830	7802159
ERR5010697	43629347	8839245
ERR5010701	49991481	5216877
ERR5010707	26806120	5317621
ERR5010713	32202189	6490248
ERR5010714	28568164	6233585
ERR5010717	27544577	5709709
SRR10309773	97590328	15661862
SRR10310285	66066231	13714257
SRR10312489	95151492	18154835
SRR10312490	42920400	9959296
SRR10312491	102124203	25043468
SRR10312492	60264815	12078859
SRR10312493	94047827	9934791
SRR10312494	98398344	8159159
SRR10312495	75947294	8369034
SRR25522538	28093545	9015445
SRR25522539	74269251	10541078
SRR25522540	77143672	3385074
SRR25522544	69877639	5048945
SRR25522547	51382151	3489192
SRR25522549	76346507	16490900
SRR25522551	15510130	1456619
SRR25522552	77573186	6727273
SRR25522553	67087163	1617097
SRR25522554	68694517	6455973
SRR25522555	70091159	15538417
SRR25522559	80057570	30586141
SRR25522563	79652096	7945776
SRR25522566	76002482	4949514
SRR4236660	39914217	11922518
SRR4236665	40519416	7709461
SRR4236667	39754970	8017278
SRR4236672	47413561	11451776
SRR4236673	47202328	12428223
SRR4236674	44045977	8007588
SRR10312496	80678094	14734710
SRR10312497	77749251	15970944
SRR10312498	82407942	16462427
SRR10312500	51043417	10506867
SRR10312503	78081578	21139157
SRR10312504	64741143	13008276
SRR16095322	42749036	16202415
SRR16095324	55348780	21390731
SRR16095325	66112633	25751876
SRR16095326	57473570	22124511
SRR16095327	51992932	19610135
SRR16095329	59948122	21957552
SRR16095330	47992425	17624711
SRR16095331	64443545	24063259
SRR16095332	44938280	17685796
SRR16095337	40760892	17109072
SRR16095338	36286872	15605072
SRR16095340	42520971	17921575
SRR16095341	39984780	16922791
SRR16095342	39902632	15594061
SRR16095343	38634818	15423107
SRR16095344	39321910	15994996
SRR17752278	15045990	2449761
SRR4244739	37105843	11152766
SRR5007146	37564779	11973389
SRR5007222	44168556	11464321
SRR5007224	40048772	7570358
SRR5007228	56063347	16177029
SRR5007245	45540406	12713073
SRR5007270	40865727	11914617
SRR5007313	40857694	10721429
SRR5007460	33957174	6839827
SRR7008010	153787983	40087367
SRR7008372	163441108	32901414
SRR7052951	185634279	37305164
SRR7052952	148778691	37776087
SRR7053051	179588825	52283874
SRR7053297	143303192	27568878
SRR7979708	137439448	32081464
SRR7979709	175084573	38698913
SRR7985395	183940627	25238467
SRR7985596	178583403	36135137
SRR7985617	175323917	36896302
SRR7988745	190787329	45766408
SRR7989281	151609937	34961651
SRR7990527	192050003	45947370
SRR7990717	125378394	42783251
