"aerobic","anaerobic","facultative"
90,10,0
70,30,0
50,50,0
30,70,0
10,90,0
90,0,10
80,10,10
70,20,10
60,30,10
50,40,10
40,50,10
30,60,10
20,70,10
0,90,10
80,0,20
70,10,20
60,20,20
50,30,20
40,40,20
30,50,20
10,70,20
0,80,20
70,0,30
60,10,30
50,20,30
40,30,30
20,50,30
10,60,30
0,70,30
60,0,40
50,10,40
30,30,40
20,40,40
10,50,40
0,60,40
40,10,50
30,20,50
20,30,50
10,40,50
0,50,50
40,0,60
30,10,60
20,20,60
10,30,60
0,40,60
30,0,70
20,10,70
10,20,70
0,30,70
20,0,80
10,10,80
0,20,80
10,0,90
0,10,90
0,0,100
