Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR4408063	WGS of infant gut metagenome: Estonian subject T000461 at age 315 days	Illumina HiSeq 2500	41611	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408063/SRR4408063.sra	SRR4408063.sra	SRR4408063_WGS_of_infant_gut_metagenome_Estonian_subject_T000461_at_age_315_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/003/SRR4408063/SRR4408063_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/003/SRR4408063/SRR4408063_1.fastq.gz	SRR4408063_1.fastq.gz	SRR4408063_WGS_of_infant_gut_metagenome_Estonian_subject_T000461_at_age_315_days_1.fastq.gz
SRR4408063	WGS of infant gut metagenome: Estonian subject T000461 at age 315 days	Illumina HiSeq 2500	41611	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408063/SRR4408063.sra	SRR4408063.sra	SRR4408063_WGS_of_infant_gut_metagenome_Estonian_subject_T000461_at_age_315_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/003/SRR4408063/SRR4408063_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/003/SRR4408063/SRR4408063_2.fastq.gz	SRR4408063_2.fastq.gz	SRR4408063_WGS_of_infant_gut_metagenome_Estonian_subject_T000461_at_age_315_days_2.fastq.gz
SRR4408180	WGS of infant gut metagenome: Estonian subject T004341 at age 321 days	Illumina HiSeq 2500	10019	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408180/SRR4408180.sra	SRR4408180.sra	SRR4408180_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_321_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/000/SRR4408180/SRR4408180_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/000/SRR4408180/SRR4408180_1.fastq.gz	SRR4408180_1.fastq.gz	SRR4408180_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_321_days_1.fastq.gz
SRR4408180	WGS of infant gut metagenome: Estonian subject T004341 at age 321 days	Illumina HiSeq 2500	10019	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408180/SRR4408180.sra	SRR4408180.sra	SRR4408180_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_321_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/000/SRR4408180/SRR4408180_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/000/SRR4408180/SRR4408180_2.fastq.gz	SRR4408180_2.fastq.gz	SRR4408180_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_321_days_2.fastq.gz
SRR4408173	WGS of infant gut metagenome: Estonian subject T004341 at age 211 days	Illumina HiSeq 2500	8403	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408173/SRR4408173.sra	SRR4408173.sra	SRR4408173_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_211_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/003/SRR4408173/SRR4408173_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/003/SRR4408173/SRR4408173_1.fastq.gz	SRR4408173_1.fastq.gz	SRR4408173_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_211_days_1.fastq.gz
SRR4408173	WGS of infant gut metagenome: Estonian subject T004341 at age 211 days	Illumina HiSeq 2500	8403	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408173/SRR4408173.sra	SRR4408173.sra	SRR4408173_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_211_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/003/SRR4408173/SRR4408173_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/003/SRR4408173/SRR4408173_2.fastq.gz	SRR4408173_2.fastq.gz	SRR4408173_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_211_days_2.fastq.gz
SRR4408055	WGS of infant gut metagenome: Estonian subject T000094 at age 314 days	Illumina HiSeq 2500	25284	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408055/SRR4408055.sra	SRR4408055.sra	SRR4408055_WGS_of_infant_gut_metagenome_Estonian_subject_T000094_at_age_314_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/005/SRR4408055/SRR4408055_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/005/SRR4408055/SRR4408055_1.fastq.gz	SRR4408055_1.fastq.gz	SRR4408055_WGS_of_infant_gut_metagenome_Estonian_subject_T000094_at_age_314_days_1.fastq.gz
SRR4408055	WGS of infant gut metagenome: Estonian subject T000094 at age 314 days	Illumina HiSeq 2500	25284	1476511200000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR440/SRR4408055/SRR4408055.sra	SRR4408055.sra	SRR4408055_WGS_of_infant_gut_metagenome_Estonian_subject_T000094_at_age_314_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR440/005/SRR4408055/SRR4408055_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR440/005/SRR4408055/SRR4408055_2.fastq.gz	SRR4408055_2.fastq.gz	SRR4408055_WGS_of_infant_gut_metagenome_Estonian_subject_T000094_at_age_314_days_2.fastq.gz
SRR4305461	WGS of infant gut metagenome: Estonian subject T004341 at age 1102 days	Illumina HiSeq 2500	30284	1475733600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR430/SRR4305461/SRR4305461.sra	SRR4305461.sra	SRR4305461_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_1102_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/001/SRR4305461/SRR4305461_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR430/001/SRR4305461/SRR4305461_1.fastq.gz	SRR4305461_1.fastq.gz	SRR4305461_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_1102_days_1.fastq.gz
SRR4305461	WGS of infant gut metagenome: Estonian subject T004341 at age 1102 days	Illumina HiSeq 2500	30284	1475733600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR430/SRR4305461/SRR4305461.sra	SRR4305461.sra	SRR4305461_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_1102_days.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR430/001/SRR4305461/SRR4305461_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR430/001/SRR4305461/SRR4305461_2.fastq.gz	SRR4305461_2.fastq.gz	SRR4305461_WGS_of_infant_gut_metagenome_Estonian_subject_T004341_at_age_1102_days_2.fastq.gz
