Accession,phylum,PF00216.26,PF00296.26,PF01189.24,PF04241.20,PF08331.15,PF10371.14,PF10590.14,PF16870.10,PF17769.7,PF17910.6,PF22692.1,PF01329.24,PF21349.2,PF01152.27,PF02104.20,PF02628.20,PF03070.21,PF01871.22,PF13564.11,PF05721.19,Oxygen2
GCA_009688945.1,Desulfobacterota,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000186245.1,Campylobacterota,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1
GCA_000423845.1,Desulfobacterota,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000196275.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0
GCA_000526415.1,Chloroflexota,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0
GCA_900104045.1,Desulfobacterota_I,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_900104215.1,Desulfobacterota_I,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1
GCA_000423865.1,Other,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_004634215.1,Deinococcota,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0
GCA_000012885.1,Desulfobacterota,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1
GCA_901538355.1,Planctomycetota,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0
GCA_003316695.1,Campylobacterota,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
GCA_900176365.1,Desulfobacterota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_014905135.1,Campylobacterota,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1
GCA_003574035.1,Deinococcota,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
GCA_000190435.1,Spirochaetota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_003545885.1,Spirochaetota,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0
GCA_000422245.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_005869845.1,Bacteroidota_A,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0
GCA_002119425.1,Campylobacterota,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000178855.1,Chloroflexota,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0
GCA_008245005.1,Campylobacterota,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
GCA_000147075.1,Spirochaetota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000953715.1,Thermotogota,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
GCA_000426705.1,Spirochaetota,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_000172975.1,Synergistota,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1
GCA_900101955.1,Desulfobacterota,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_014873765.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_008001235.1,Desulfobacterota_I,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
GCA_007744675.1,Planctomycetota,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0
GCA_006265245.1,Bacteroidota_A,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
GCA_001027025.1,Thermotogota,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
GCA_007830435.1,Desulfobacterota,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
GCA_003751385.1,Desulfobacterota,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
