,PF00042.28,PF00115.25,PF00116.26,PF00296.26,PF00510.24,PF00916.26,PF01521.26,PF03063.25,PF05425.18,PF10371.14,PF13597.11,PF16870.10,PF17773.7,PF17910.6,PF02579.22,PF01152.27,PF08530.16,PF01871.22,PF02906.19,PF05721.19,Oxygen2
0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0
1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
2,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
3,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
4,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
7,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
8,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
9,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1
10,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0
12,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
13,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
16,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0
17,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
18,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
19,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
20,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
21,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
22,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
23,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
24,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1
25,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
26,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
27,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
28,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
29,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
30,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
31,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
32,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
33,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
34,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0
35,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
36,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
38,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1
39,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
40,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0
41,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
42,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
43,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
44,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0
45,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
46,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
47,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
48,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
49,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0
50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
51,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1
52,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
53,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
54,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1
55,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
56,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
57,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
59,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
60,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
61,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1
62,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
63,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0
64,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0
65,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0
66,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
67,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
68,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0
70,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
71,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1
72,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0
73,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
75,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
77,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
78,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1
79,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
80,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0
81,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
82,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
83,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
84,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
85,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
86,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
87,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
88,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
89,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
90,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0
91,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
92,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
93,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
94,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0
95,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
97,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1
98,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
99,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
100,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1
101,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
102,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
103,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1
104,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
105,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
106,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1
