"","accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"1","RS_GCF_000019185.1",100,0.62,99.84,0,44.5908745059468,5226917,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Shewanella;Shewanella halifaxensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shewanellaceae","Shewanella","Shewanella halifaxensis","Complete Genome","none","GCA_000019185.1","none","none","representative genome",271098,458817,"aerobe","aerobic"
"2","RS_GCF_000023065.1",100,1.12,100,0.54,49.0270193345878,3471292,TRUE,"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Tolumonas;Tolumonas auensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Tolumonas","Tolumonas auensis","Complete Genome","Switzerland","GCA_000023065.1","none","sediment of freshwater lake","representative genome",43948,595494,"aerobe","aerobic"
"3","RS_GCF_000385175.1",99.67,0.15,99.43,0.29,43.8804297418457,2639352,TRUE,"Bacteria;Bacillota;Bacilli;Staphylococcales;Salinicoccaceae;Salinicoccus;Salinicoccus albus","Bacteria","Bacillota","Bacilli","Staphylococcales","Salinicoccaceae","Salinicoccus","Salinicoccus albus","Contig","China","GCA_000385175.1","none","none","representative genome",418756,1123230,"aerobe","aerobic"
"4","RS_GCF_000429405.1",100,0.18,100,0,41.9158218189802,4431678,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Algoriphagus;Algoriphagus marincola","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus","Algoriphagus marincola","Scaffold","South Korea","GCA_000429405.1","none","none","representative genome",264027,1120966,"aerobe","aerobic"
"5","RS_GCF_001183985.1",100,1.54,96.72,4.1,37.5461107220797,5428425,TRUE,"Bacteria;Bacillota;Bacilli;Bacillales_B;DSM-1321;Peribacillus;Peribacillus loiseleuriae","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus loiseleuriae","Scaffold","China: Sichuan","GCA_001183985.1","none","soil","representative genome",1679170,1679170,"aerobe","aerobic"
"6","RS_GCF_001438705.1",99.96,0.05,97.12,0,39.6706040078817,1334438,TRUE,"Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Weissella;Weissella kandleri","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella kandleri","Scaffold","none","GCA_001438705.1","none","fermented sausages","representative genome",1616,1616,"anaerobe","anaerobic"
"7","RS_GCF_013359755.1",100,0,99.78,0.81,61.5075538819096,6318076,TRUE,"Bacteria;Pseudomonadota;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Tardiphaga;Tardiphaga robiniae","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","Tardiphaga robiniae","Contig","Belgium: Ronse","GCA_013359755.1","none","Root nodules of a roadside Black locust","representative genome",943830,943830,"aerobe","aerobic"
"8","RS_GCF_023634845.1",99.99,5.2,99.65,4.95,36.5247899203682,4295405,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium amniphilum","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium amniphilum","Scaffold","China: Taiwan","GCA_023634845.1","none","unknow","representative genome",1834035,1834035,"aerobe","aerobic"
"9","RS_GCF_001936575.1",100,0.05,99.55,0.53,30.8692396560598,5638422,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;Tenacibaculum agarivorans","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Tenacibaculum agarivorans","Contig","China: Shandong Province","GCA_001936575.1","none","leaf","representative genome",1908389,1908389,"aerobe","aerobic"
"10","RS_GCF_000012845.1",99.97,1.28,99.42,0.38,45.0595764748526,4811379,TRUE,"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis","Complete Genome","none","GCA_000012845.1","none","none","na",823,435591,"anaerobe","anaerobic"
