"accession","checkm2_completeness","checkm2_contamination","checkm_completeness","checkm_contamination","gc_percentage","genome_size","gtdb_representative","gtdb_taxonomy","Domain","Phylum","Class","Order","Family","Genus","Species","ncbi_assembly_level","ncbi_country","ncbi_genbank_assembly_accession","ncbi_genome_category","ncbi_isolation_source","ncbi_refseq_category","ncbi_species_taxid","ncbi_taxid","Oxygen.tolerance","Oxygen2"
"RS_GCF_003207895.1",99.99,0.81,100,0,62.4021492736906,3732982,TRUE,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter swingsii","d__Bacteria","p__Pseudomonadota","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Komagataeibacter","s__Komagataeibacter swingsii","Contig","Italy","GCA_003207895.1","none","organic apple juice","representative genome",215220,215220,"facultative anaerobe","facultative"
"RS_GCF_000429205.1",99.91,0.11,100,0,62.2857070411583,2130987,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum schaalii","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinotignum","s__Actinotignum schaalii","Scaffold","Sweden","GCA_000429205.1","none","none","na",59505,1120932,"facultative anaerobe","facultative"
"RS_GCF_001995055.1",96.44,1.42,99.05,1.9,71.2438856714806,2904857,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces denticolens","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces denticolens","Contig","none","GCA_001995055.1","none","none","na",52767,52767,"facultative anaerobe","facultative"
"RS_GCF_000711965.1",100,0.84,100,1.78,71.4386679042305,4025772,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces israelii","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces israelii","Scaffold","USA: Rochester; MN","GCA_000711965.1","none","none","na",1659,1120944,"facultative anaerobe","facultative"
"RS_GCF_000285995.1",91.05,1.23,99.23,1,67.853129150173,3114341,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces naeslundii","Contig","none","GCA_000285995.1","none","biological product [ENVO:02000043]","na",1655,1115803,"facultative anaerobe","facultative"
"RS_GCF_031191545.1",99.99,0.1,100,0.47,64.8612628474842,2455831,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia odontolytica","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia","s__Pauljensenia odontolytica","Complete Genome","USA","GCA_031191545.1","none","none","representative genome",1660,1660,"facultative anaerobe","facultative"
"RS_GCF_004525795.1",99.99,0.17,100,0.59,69.032920947285,3336376,FALSE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces viscosus","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces viscosus","Contig","USA","GCA_004525795.1","none","Periodontal disease in hamsters","na",1656,1656,"facultative anaerobe","facultative"
"RS_GCF_001907235.1",99.99,0.1,99.29,1.18,67.1591778549644,2521171,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Buchananella;s__Buchananella hordeovulneris","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Buchananella","s__Buchananella hordeovulneris","Scaffold","none","GCA_001907235.1","none","none","representative genome",52770,52770,"facultative anaerobe","facultative"
"RS_GCF_000429245.1",99.99,0.09,100,0.47,69.871636222003,2498023,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia georgiae","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Pauljensenia","s__Pauljensenia georgiae","Scaffold","USA","GCA_000429245.1","none","none","representative genome",52768,1120942,"facultative anaerobe","facultative"
"RS_GCF_000420405.1",99.98,0.11,100,0.95,56.178211358622,2270293,TRUE,"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Winkia;s__Winkia neuii","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Actinomycetaceae","g__Winkia","s__Winkia neuii","Contig","Switzerland","GCA_000420405.1","none","none","representative genome",33007,1120945,"facultative anaerobe","facultative"
