Accession,phylum,PF00115.25,PF00116.26,PF00199.24,PF00296.26,PF00510.24,PF01521.26,PF02678.22,PF03063.25,PF05726.19,PF08007.18,PF10371.14,PF13597.11,PF16901.10,PF17773.7,PF02579.22,PF02628.20,PF08530.16,PF01871.22,PF02906.19,PF09989.15,Oxygen2
GCA_000019185.1,Pseudomonadota,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0
GCA_000023065.1,Pseudomonadota,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0
GCA_000385175.1,Bacillota,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_000429405.1,Bacteroidota,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_001183985.1,Bacillota,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
GCA_001438705.1,Bacillota,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_013359755.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
GCA_023634845.1,Bacteroidota,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0
GCA_001936575.1,Bacteroidota,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000012845.1,Bacteroidota,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1
GCA_000770795.1,Pseudomonadota,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
GCA_000426505.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0
GCA_028401405.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_002259585.1,Actinomycetota,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GCA_000014445.1,Bacillota,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
GCA_004354085.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0
GCA_002157205.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0
GCA_005885605.1,Pseudomonadota,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
GCA_016863575.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_014196715.1,Bacteroidota,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000382345.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000422505.1,Bacillota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_002356335.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
GCA_900109575.1,Bacteroidota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0
GCA_003399445.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
GCA_017876535.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
GCA_002807055.1,Bacteroidota,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
GCA_014196125.1,Pseudomonadota,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
GCA_001676655.1,Pseudomonadota,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
GCA_003350405.1,Pseudomonadota,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0
GCA_000425585.1,Bacteroidota,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0
GCA_000341105.1,Actinomycetota,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0
GCA_007991755.1,Actinomycetota,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
